id_d;nacionalidad;fecha_nacimiento;nombre;id_club
100001;Argentina;sábado, 20 de junio de 1981;Juan Cruz Real;101
100002;Colombia;lunes, 28 de octubre de 1957;Hernan Herrera;102
100003;Colombia;sábado, 18 de febrero de 1961;Hernan Torres;103
100004;Colombia;lunes, 3 de febrero de 1964;Alberto Gamero;104
100005;Costa Rica;sábado, 7 de noviembre de 1959;Alexandre Guimaraes;105
100006;Uruguay;lunes, 29 de junio de 1981;Julio Comesaña;106
100007;Venezuela;domingo, 7 de enero de 1973;Rafael Dudamel;107
100008;Uruguay;viernes, 28 de noviembre de 1958;Alfredo Arias;108
100009;Colombia;martes, 30 de junio de 1981;Diego Corredor;109
100010;Colombia;lunes, 17 de enero de 1972;Hubert Bodhert;110
100011;Colombia;martes, 21 de junio de 1960;Alexis García;111
100012;Colombia;martes, 7 de febrero de 1961;Armando Osma;112
100013;Colombia;jueves, 29 de julio de 1965;Leonel Álvarez;113
100014;Colombia;lunes, 28 de octubre de 1957;José Fernando Santa;114
100015;Colombia;sábado, 20 de junio de 1981;Cesar Torres;115
100016;Colombia;domingo, 12 de julio de 1970;Flabio Torres;116
100017;Colombia;miércoles, 22 de febrero de 1961;Alberto Suárez;117
100018;Colombia;miércoles, 17 de abril de 1957;Arturo Boyacá Gamboa;118
100019;Chile;lunes, 28 de febrero de 1972;Manuel Suárez;119
100020;Argentina;domingo, 17 de enero de 1960;Claudio Rodriguez;120
