nombre;id_e;area;id_club
Dorita;1000001;porteros;101
Thomasin;1000002;defensas;101
Glyn;1000003;mediocampistas;101
Sibyl;1000004;delanteros;101
Bella;1000005;porteros;102
Kriste;1000006;defensas;102
Freedman;1000007;mediocampistas;102
Whitaker;1000008;delanteros;102
Issi;1000009;porteros;103
Gianina;1000010;defensas;103
Vicki;1000011;mediocampistas;103
Merry;1000012;delanteros;103
Nowell;1000013;porteros;104
Angelle;1000014;defensas;104
Raymond;1000015;mediocampistas;104
Devora;1000016;delanteros;104
Donnie;1000017;porteros;105
Kingsley;1000018;defensas;105
Filberte;1000019;mediocampistas;105
Lorens;1000020;delanteros;105
Rebbecca;1000021;porteros;106
Delainey;1000022;defensas;106
Felecia;1000023;mediocampistas;106
Josefina;1000024;delanteros;106
Mariska;1000025;porteros;107
Eleanore;1000026;defensas;107
Kara-lynn;1000027;mediocampistas;107
Madalena;1000028;delanteros;107
Lora;1000029;porteros;108
Gennifer;1000030;defensas;108
Hanny;1000031;mediocampistas;108
Valma;1000032;delanteros;108
Bradford;1000033;porteros;108
Rozina;1000034;defensas;109
Ferguson;1000035;mediocampistas;109
Bernelle;1000036;delanteros;109
Carita;1000037;porteros;109
Jdavie;1000038;defensas;110
Augustus;1000039;mediocampistas;110
Adler;1000040;delanteros;110
Neala;1000041;porteros;110
Tonia;1000042;defensas;111
Bryn;1000043;mediocampistas;111
Tymon;1000044;delanteros;111
Israel;1000045;porteros;111
Christy;1000046;defensas;112
Alfonse;1000047;mediocampistas;112
Daron;1000048;delanteros;112
Emmet;1000049;porteros;112
Armstrong;1000050;defensas;113
Rois;1000051;mediocampistas;113
Kenyon;1000052;delanteros;113
Sherlocke;1000053;porteros;114
Reynolds;1000054;defensas;114
Rianon;1000055;mediocampistas;114
Carter;1000056;delanteros;115
Aymer;1000057;porteros;115
Martguerita;1000058;defensas;115
Mata;1000059;mediocampistas;115
Alvis;1000060;delanteros;115
Tamarra;1000061;porteros;116
Veriee;1000062;defensas;116
Demetris;1000063;mediocampistas;116
Rivy;1000064;delanteros;116
Elladine;1000065;porteros;117
Stoddard;1000066;defensas;117
Ulrikaumeko;1000067;mediocampistas;117
Marnie;1000068;delanteros;117
Lexi;1000069;porteros;118
Des;1000070;defensas;118
Philippa;1000071;mediocampistas;118
Lynne;1000072;delanteros;118
Ibby;1000073;porteros;119
Eddie;1000074;defensas;119
Gwenni;1000075;mediocampistas;119
Rachelle;1000076;delanteros;119
Kendra;1000077;porteros;120
Ashlie;1000078;defensas;120
Marla;1000079;mediocampistas;120
Lisette;1000080;delanteros;120
Garrik;1000081;porteros;120
